Name,Age,Occupation,Hometown,Height,ElimWeek,Season
Kristine Heffelfinger,33,Personal trainer,"Dillsburg, Pennsylvania",,3,12
Carri Perrier,25,Church marketing rep.,"Oklahoma City, Oklahoma",,2,12
Erin Harper,25,Event planner,"Seattle, Washington",,2,12
Michelle P.,28,Administrative assistant,"Syracuse, New York",,2,12
Alyssa,24,Biology student,"Boise, Idaho",,1,12
Amanda Petterman,26,Law student,"LaFollette, Tennessee",,1,12
Denise,30,Attorney and former White House aide,"Washington, D.C",,1,12
Devon,24,Makeup artist,"Austin, Texas",,1,12
Lesley Geyer,23,Youth minister,"Tampa, Florida",,1,12
Michele R.,33,Interior designer,"Laguna Niguel, California",,1,12
Rebecca,30,Attorney,"Alamo, California",,1,12
Stacey Elza,26,Graduate student,"Chicago, Illinois",,1,12
Tamara,23,Cocktail waitress,"Beverly Hills, California",,1,12
Tiffany,33,Real estate marketing rep.,"San Francisco, California",,1,12
Melissa Rycroft,25,Sales Representative,"Dallas, Texas",,,13
Molly Malaney,24,Department Store Buyer,"Brookfield, Wisconsin",,8,13
Jillian Harris,29,Interior Designer,"Peace River, Alberta",,7,13
Naomi Rose Crespo,24,Flight Attendant,"Carlsbad, California",,6,13
Stephanie Hogan,34,Single Mother & Medical Marketing Rep.,"Huntsville, Alabama",,5,13
Lauren Wanger,27,Teacher,"Marlboro, New Jersey",,4,13
Megan Parris,25,Single Mother and Lacrosse Coach,"Sewickley, Pennsylvania",,4,13
Shannon Bair,29,Dental Hygienist,"Marshall, Missouri",,4,13
"Nicole ""Nikki"" Kaapke",29,Administrative Assistant,"Blue Island, Illinois",,4,13
Erica DeSimone,25,Account Executive,"Monroe, Connecticut",,3,13
Kari Fajen,27,Account Executive,"Lee's Summit, Missouri",,3,13
Natalie Getz,27,Human Resources Recruiter,"Morton, Illinois",,3,13
Raquel Medeiros,27,Medical Student,"Recife, Pernambuco, Brazil",,2,13
Sharon Staebell,32,Teacher,"Batavia, New York",,2,13
Lisa Gonzalez,28,Public Relations Associate,"Boise, Idaho",,2,13
Ann Lueders,24,Flight Attendant,"Phoenix, Arizona",,1,13
Dominique Carta,26,Medical Sales Rep.,"Mt. Carmel, Pennsylvania",,1,13
Emily,23,Casino Marketing Rep.,"Seattle, Washington",,1,13
Jackie Hickey,26,Wedding Coordinator,"Springfield, Massachusetts",,1,13
Julie Dermotta,26,Teacher,"Columbus, Ohio",,1,13
Nicole Mah,25,Menswear Buyer,"Calgary, Alberta",,1,13
Renee Simlak,36,Jewelry Designer,"Southfield, Michigan",,1,13
Shelby,23,Account Executive,"Stockton, California",,1,13
Stacia Mann,24,Single Mother & Charity Accountant,"Orem, Utah",,1,13
Treasure Morgan,28,Single Mother and Nurse Practitioner,"Salt Lake City, Utah",,1,13
Vienna Girardi,23,Marketing Representative,"Geneva, Florida",,,14
Tenley Molzahn,25,College Admissions,"Newberg, Oregon",,8,14
Gia Allemand,26,Swimsuit Model,"New York, New York",,7,14
Ali Fedotowsky,25,Advertising Account Manager,"Williamstown, Massachusetts",,6,14
Corrie Adamson,23,Wardrobe Consultant,"Kissimmee, Florida",,5,14
Ashleigh Hunt,25,Account Manager,"North Potomac, Maryland",,4,14
Jessie Sulidis,25,Cosmetic Sales Manager,"Oakville, Ontario",,4,14
Kathryn Sherlock,25,Corporate Flight Attendant,"Lexington, Kentucky",,4,14
Ella Nolan,30,Hair Stylist,"La Follette, Tennessee",,4,14
Elizabeth Kitt (NE),29,Nanny,"Imperial, Nebraska",,3,14
Valishia Savage,32,Homemaker,"San Bernardino, California",,3,14
Michelle Kujawa,26,Office Manager,"Anaheim, California",,3,14
Ashley Elmore,29,Teacher,"Pittsburgh, Pennsylvania",,2,14
Christina McCasland,25,Restaurant Manager,"San Diego, California",,2,14
Rozlyn Papa,28,Model/Make-Up Artist,"Richmond, Virginia",,2,14
Alexa (Lex) McAllister,25,Entrepreneur,"Galloway, Ohio",,1,14
Caitlyn McCabe,24,Spokesmodel,"Winfield, Illinois",,1,14
Channy Choch,29,Mortgage Loan Officer,"Santa Rosa, California",,1,14
Elizabeth Kreft (D.C.),29,"Captain, Air National Guard","Union, Kentucky",,1,14
Emily Harkins,23,Fitness Model,"West Chester, Ohio",,1,14
Kimberly Sullivan,24,NBA Dancer,"Norman, Oklahoma",,1,14
Kirsten Pittman,25,Waitress,"Aurora, Colorado",,1,14
Sheila Marie Lidner,25,Commercial Pilot,"Scottsdale, Arizona",,1,14
Stephanie Mueller,24,Dance Teacher,"Morris, Illinois",,1,14
Tiana Kruzel,31,Medical Technician,"Calgary, Alberta",,1,14
Emily Maynard,25,Children's Hospital Event Planner,"Morgantown, West Virginia",,,15
Chantal O'Brien,28,Executive Assistant,"Mercer Island, Washington",,10,15
Ashley Hebert,26,Dental Student,"Madawaska, Maine",,9,15
Shawntel Newton,25,Funeral Director,"Chico, California",,8,15
Michelle Money,30,Hair stylist,"Salt Lake City, Utah",,7,15
Britt Billmaier,25,Food writer,"Woodinville, Washington",,7,15
Jackie Gordon,26,Artist,"Newport, Rhode Island",,6,15
Alli Travis,24,Apparel merchant,"Columbus, Ohio",,6,15
Lisa Morrisey,24,Marketing Coordinator,"Ottawa, Kansas",,5,15
Marissa May,26,Sports Publicist,"Mesa, Arizona",,5,15
Ashley Spivey,26,Nanny,"Ellerbe, North Carolina",,5,15
Lindsay Hill,25,First grade teacher,"Plano, Texas",,4,15
Meghan Merritt,30,Fashion Marketer,"Princeton, New Jersey",,4,15
Stacey Quirpel,26,Bartender,"Quincy, Massachusetts",,4,15
Kimberly Coon,27,Marketing Coordinator,"Orlando, Florida",,3,15
Sarah Powell,27,Real Estate Broker,"Denver, Colorado",,3,15
Madison Garton,25,Model,"Vail, Colorado",,3,15
Keltie Colleen,28,Radio City Rockette,"Sherwood Park, Alberta",,2,15
Melissa Schreiber,32,Waitress,"Westport, Connecticut",,2,15
Raichel Goodyear,29,Manscaper,"Fullerton, California",,2,15
Britnee,25,Paralegal,"Holland, Pennsylvania",,1,15
Cristy Caserta,30,Attorney,"Davie, Florida",,1,15
"Jessica ""J"" Adams",26,Operations Manager,"Seattle, Washington",,1,15
Jill Ruskowski,28,Sales director,"Frisco, Texas",,1,15
Lacey Garbelman,27,Insurance agent,"Tampa, Florida",,1,15
Lauren Moore,26,High School Teacher,"Culpeper, Virginia",,1,15
Lisa P.,27,Sales Consultant,"Dix Hills, New York",,1,15
Rebecca,30,Esthetician,"Mission Viejo, California",,1,15
Renee Halpin,28,Nanny,"Palos Hills, Illinois",,1,15
Sarah Ledtke,25,Musical Theatre Performer,"Saginaw, Michigan",,1,15
Courtney Robertson,28,Model,"Scottsdale, Arizona",,,16
Lindzi Cox,27,Business development manager,"Newcastle, Washington",,10,16
Nicki Sterling,26,Dental hygienist,"Hurst, Texas",,9,16
Kacie Boguskie,24,Administrative assistant,"Clarksville, Tennessee",,8,16
Emily O'Brien,27,PhD Student,"Chapel Hill, North Carolina",,7,16
Rachel Truehart,27,Fashion sales representative,"Southampton, Massachusetts",,7,16
Jamie Otis,25,Registered nurse,"Dryden, New York",,6,16
Casey Shteamer,26,Trading clerk,"Leawood, Kansas",,6,16
Blakeley Jones,33,VIP cocktail waitress,"Rutherfordton, North Carolina",,6,16
Jennifer Fritsch,28,Accountant,"Cache, Oklahoma",,5,16
Elyse Myers,24,Personal trainer,"Chicago, Illinois",,5,16
Monica Spannbauer,33,Dental consultant,"Yuba, California",,4,16
Samantha Levey,26,Advertising account manager,"Pittsburgh, Pennsylvania",,4,16
Erika Uhlig,23,Law student,"Charlottesville, Virginia",,3,16
Jaclyn Swartz,27,Advertising account manager,"Newton, Massachusetts",,3,16
Brittney Schreiner,26,Medical sales representative,"Colorado Springs, Colorado",,3,16
